Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,CRSElapsedTime,Origin,Dest,Distance,ArrDelay15,Origin_Lat,Origin_Lon,Origin_State,Dest_Lat,Dest_Lon,Dest_State,Origin_dayl,Dest_dayl,Origin_prcp,Dest_prcp,Origin_srad,Dest_srad,Origin_swe,Dest_swe,Origin_tmax,Dest_tmax,Origin_tmin,Dest_tmin,Origin_vp,Dest_vp
5,2,5,935,1015,AA,100,DFW,ELP,551,True,32.89595056,-97.0372,TX,31.80666667,-106.3778056,TX,48038.4,48038.4,0.0,0.0,393.6,537.6,0.0,0.0,27.0,28.0,16.0,8.5,1800.0,400.0
9,1,1,1310,1855,AA,285,DFW,SJU,2165,True,32.89595056,-97.0372,TX,18.43941667,-66.00183333,PR,45619.2,,0.0,,438.4,,0.0,,35.0,,22.0,,2000.0,
10,19,7,1305,1445,MQ,100,DFW,MOB,540,False,32.89595056,-97.0372,TX,30.69141667,-88.24283333,AL,39744.0,39744.0,0.0,0.0,361.6,387.2,0.0,0.0,25.5,23.0,11.0,9.0,1320.0,1160.0
7,26,6,925,1510,AA,285,DFW,SJU,2165,False,32.89595056,-97.0372,TX,18.43941667,-66.00183333,PR,49420.8,,0.0,,409.6,,0.0,,37.5,,25.5,,2440.0,
6,10,2,2055,2115,AA,140,DFW,PHX,868,False,32.89595056,-97.0372,TX,33.43416667,-112.0080556,AZ,50803.2,51148.8,8.0,0.0,352.0,537.6,0.0,0.0,33.5,42.0,20.0,22.0,2320.0,1000.0
10,20,1,1520,1645,MQ,85,DFW,JAN,408,False,32.89595056,-97.0372,TX,32.31116667,-90.07588889,MS,39398.4,39744.0,0.0,0.0,352.0,390.4,0.0,0.0,28.0,22.5,13.5,6.5,1560.0,960.0
9,6,6,2120,2215,MQ,55,DFW,SHV,190,False,32.89595056,-97.0372,TX,32.4466275,-93.82559833,LA,44928.0,44928.0,0.0,0.0,467.2,470.4,0.0,0.0,33.0,27.5,19.0,15.5,1640.0,1760.0
5,5,1,1055,1235,AA,160,DFW,SLC,988,False,32.89595056,-97.0372,TX,40.78838778,-111.9777731,UT,48384.0,50112.0,0.0,0.0,377.6,502.4,0.0,0.0,24.0,24.0,14.0,8.5,1600.0,680.0
10,22,3,1540,1920,AA,160,DFW,FLL,1119,True,32.89595056,-97.0372,TX,26.07258333,-80.15275,FL,39398.4,40089.6,0.0,0.0,352.0,297.6,0.0,0.0,26.0,28.5,11.5,22.5,1360.0,2720.0
5,24,6,1945,2325,AA,160,DFW,MIA,1121,True,32.89595056,-97.0372,TX,25.79325,-80.29055556,FL,50112.0,48384.0,0.0,12.0,316.8,320.0,0.0,0.0,34.0,32.5,25.0,23.0,3160.0,2800.0
7,19,6,1440,1825,AA,165,DFW,DTW,987,False,32.89595056,-97.0372,TX,42.21205889,-83.34883583,MI,50112.0,52876.8,0.0,0.0,403.2,294.4,0.0,0.0,36.5,29.5,24.5,21.5,2600.0,2560.0
9,26,5,1320,1530,AA,250,DFW,SEA,1660,False,32.89595056,-97.0372,TX,47.44898194,-122.3093131,WA,42508.8,41817.6,0.0,1.0,419.2,230.4,0.0,0.0,31.5,18.0,17.5,11.0,1760.0,1320.0
9,25,4,1220,1315,MQ,55,DFW,CLL,164,False,32.89595056,-97.0372,TX,30.58858944,-96.36382417,TX,42508.8,42508.8,0.0,0.0,412.8,419.2,0.0,0.0,31.5,31.0,18.0,16.5,1800.0,1880.0
9,7,7,1830,1930,AA,60,DFW,TUL,237,False,32.89595056,-97.0372,TX,36.19837222,-95.88824167,OK,44928.0,44928.0,0.0,5.0,480.0,304.0,0.0,0.0,33.5,27.5,18.5,17.0,1560.0,1920.0
4,25,5,1900,1950,AA,170,DFW,LAS,1055,False,32.89595056,-97.0372,TX,36.08036111,-115.1523333,NV,47347.2,48038.4,0.0,0.0,412.8,524.8,0.0,0.0,28.5,27.0,17.0,9.5,1920.0,440.0
